currentTimestep,currentTime,totalTimestepsRun,versions,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
0,0,0,1,30628.52739,6446032.691,1074338.782,7951371.473,45188045.85,5.683050529,5.683050529,5.683050529,5.683050529,5.683050529,63.31871171
1,1,1,1,30628.52739,6419779.667,1069963.278,7920742.945,45467348.83,5.740288398,5.740288398,11.42333893,11.42333893,17.10638946,63.09198819
2,2,2,1,30628.52739,6393526.644,1065587.774,7890114.418,45703564.95,5.792509782,5.792509782,17.21584871,17.21584871,34.32223817,62.90024032
3,3,3,1,30628.52739,6367273.62,1061212.27,7859485.89,45895767.5,5.839538125,5.839538125,23.05538684,23.05538684,57.377625,62.74422035
4,4,4,1,30628.52739,6341020.597,1056836.766,7828857.363,46043329.88,5.881232439,5.881232439,28.93661927,28.93661927,86.31424427,62.62443695
5,5,5,1,30628.52739,6314767.573,1052461.262,7798228.836,46145939.12,5.917489739,5.917489739,34.85410901,34.85410901,121.1683533,62.54114415
6,6,6,1,30628.52739,6288514.55,1048085.758,7767600.308,46203605.27,5.948247005,5.948247005,40.80235602,40.80235602,161.9707093,62.49433378
8,8,8,1,30628.52739,6262261.526,1043710.254,7736971.781,46216666.39,5.97348261,5.97348261,46.77583863,46.77583863,208.7465479,62.48373145
9,9,9,1,30628.52739,6209755.48,1034959.247,7675714.726,46185788.85,5.993217189,5.993217189,52.76905582,52.76905582,261.5156037,62.50879622
10,10,10,1,30628.52739,6183502.456,1030583.743,7645086.199,46111962.97,6.007513908,6.007513908,58.77656972,58.77656972,320.2921735,62.5687242
11,11,11,1,30628.52739,6157249.433,1026208.239,7614457.671,45996494.04,6.016478146,6.016478146,64.79304787,64.79304787,385.0852213,62.66245583
12,12,12,1,30628.52739,6130996.409,1021832.735,7583829.144,45840988.9,6.020256579,6.020256579,70.81330445,70.81330445,455.8985258,62.78868676
13,13,13,1,30628.52739,6104743.386,1017457.231,7553200.617,45647338.26,6.019035687,6.019035687,76.83234014,76.83234014,532.7308659,62.9458822
14,14,14,1,30628.52739,6078490.362,1013081.727,7522572.089,45417695.38,6.013039728,6.013039728,82.84537986,82.84537986,615.5762458,63.13229426
15,15,15,1,30628.52739,6052237.339,1008706.223,7491943.562,45154451.26,6.002528222,6.002528222,88.84790809,88.84790809,704.4241539,63.34598204
16,16,16,1,30628.52739,6025984.315,1004330.719,7461315.034,44860207.23,5.987793002,5.987793002,94.83570109,94.83570109,799.259855,63.58483393
17,17,17,1,30628.52739,5999731.292,999955.2153,7430686.507,44537745.21,5.969154902,5.969154902,100.804856,100.804856,900.064711,63.84659171
18,18,18,1,30628.52739,5973478.268,995579.7114,7400057.98,44189996.58,5.946960155,5.946960155,106.7518161,106.7518161,1006.816527,64.12887583
19,19,19,1,30628.52739,5947225.245,991204.2075,7369429.452,43430919.42,5.893389672,5.893389672,118.5667824,118.5667824,1238.056702,64.7450549
20,20,20,1,30628.52739,5920972.221,986828.7036,7338800.925,43025911.45,5.862798554,5.862798554,124.429581,124.429581,1362.486283,65.07381915
21,21,21,1,30628.52739,5894719.198,982453.1996,7308172.398,42608195.01,5.830212083,5.830212083,130.259793,130.259793,1492.746076,65.41289947
23,23,23,1,30628.52739,5868466.174,978077.6957,7277543.87,42180971.43,5.796044954,5.796044954,136.055838,136.055838,1628.801914,65.7596972
24,24,24,1,30628.52739,5815960.127,969326.6879,7216286.815,41747406.8,5.760714017,5.760714017,141.816552,141.816552,1770.618466,66.11164225
25,25,25,1,30628.52739,5789707.104,964951.184,7185658.288,41310606.62,5.724634799,5.724634799,147.5411868,147.5411868,1918.159653,66.46621375
26,26,26,1,30628.52739,5763454.08,960575.6801,7155029.761,40873592.94,5.688218296,5.688218296,153.2294051,153.2294051,2071.389058,66.82095856
27,27,27,1,30628.52739,5737201.057,956200.1762,7124401.233,40439284.24,5.651868069,5.651868069,158.8812732,158.8812732,2230.270331,67.17350761
28,28,28,1,30628.52739,5710948.034,951824.6723,7093772.706,40010478.27,5.615977675,5.615977675,164.4972508,164.4972508,2394.767582,67.52158983
29,29,29,1,30628.52739,5684695.01,947449.1683,7063144.178,39589837.83,5.580928438,5.580928438,170.0781793,170.0781793,2564.845761,67.86304371
30,30,30,1,30628.52739,5658441.987,943073.6644,7032515.651,39179879.39,5.547087586,5.547087586,175.6252669,175.6252669,2740.471028,68.19582649
31,31,31,1,30628.52739,5632188.963,938698.1605,7001887.124,38782964.71,5.51480674,5.51480674,181.1400736,181.1400736,2921.611102,68.51802103
32,32,32,1,30628.52739,5605935.94,934322.6566,6971258.596,38401295.03,5.484420749,5.484420749,186.6244944,186.6244944,3108.235596,68.82784049
33,33,33,1,30628.52739,5579682.916,929947.1527,6940630.069,38036907.9,5.456246871,5.456246871,192.0807412,192.0807412,3300.316338,69.12363086
34,34,34,1,30628.52739,5553429.893,925571.6488,6910001.541,37691676.35,5.430584252,5.430584252,197.5113255,197.5113255,3497.827663,69.40387175
35,35,35,1,30628.52739,5527176.869,921196.1449,6879373.014,37367310.08,5.407713712,5.407713712,202.9190392,202.9190392,3700.746702,69.66717529
36,36,36,1,30628.52739,5500923.846,916820.641,6848744.487,37065358.61,5.387897782,5.387897782,208.306937,208.306937,3909.053639,69.91228368
37,37,37,1,30628.52739,5474670.822,912445.137,6818115.959,36787215.94,5.37138099,5.37138099,213.678318,213.678318,4122.731957,70.13806533
38,38,38,1,30628.52739,5448417.799,908069.6331,6787487.432,36534126.68,5.358390338,5.358390338,219.0367083,219.0367083,4341.768665,70.34350993
39,39,39,1,30628.52739,5422164.775,903694.1292,6756858.905,36307193.11,5.349135961,5.349135961,224.3858443,224.3858443,4566.15451,70.52772272
40,40,40,1,30628.52739,5395911.752,899318.6253,6726230.377,36107383.26,5.343811936,5.343811936,229.7296562,229.7296562,4795.884166,70.68991788
41,41,41,1,30628.52739,5369658.728,894943.1214,6695601.85,35935539.53,5.342597193,5.342597193,235.0722534,235.0722534,5030.956419,70.82941162
42,42,42,1,30628.52739,5343405.705,890567.6175,6664973.322,35792387.74,5.345656529,5.345656529,240.4179099,240.4179099,5271.374329,70.94561474
43,43,43,1,30628.52739,5317152.681,886192.1136,6634344.795,35678546.47,5.353141677,5.353141677,245.7710516,245.7710516,5517.145381,71.03802512
44,44,44,1,30628.52739,5290899.658,881816.6097,6603716.268,35594536.38,5.365192417,5.365192417,251.136244,251.136244,5768.281625,71.10622011
45,45,45,1,30628.52739,5264646.634,877441.1057,6573087.74,35540789.56,5.381937702,5.381937702,256.5181817,256.5181817,6024.799807,71.14984897
46,46,46,1,30628.52739,5238393.611,873065.6018,6542459.213,35517658.52,5.403496793,5.403496793,261.9216785,261.9216785,6286.721485,71.16862553
47,47,47,1,30628.52739,5212140.588,868690.0979,6511830.685,35525425.03,5.429980359,5.429980359,267.3516589,267.3516589,6554.073144,71.16232109
48,48,48,1,30628.52739,5185887.564,864314.594,6481202.158,35564308.36,5.461491564,5.461491564,272.8131504,272.8131504,6826.886294,71.13075764
49,49,49,1,30628.52739,5159634.541,859939.0901,6450573.631,35634473.17,5.498127091,5.498127091,278.3112775,278.3112775,7105.197572,71.07380152
50,50,50,1,30628.52739,5133381.517,855563.5862,6419945.103,35736036.77,5.539978119,5.539978119,283.8512556,283.8512556,7389.048828,70.99135751
51,51,51,1,30628.52739,5107128.494,851188.0823,6389316.576,35869075.78,5.58713123,5.58713123,289.4383869,289.4383869,7678.487214,70.88336341
52,52,52,1,30628.52739,5080875.47,846812.5784,6358688.049,36033632.16,5.63966924,5.63966924,295.0780561,295.0780561,7973.565271,70.74978516
53,53,53,1,30628.52739,5054622.447,842437.0744,6328059.521,36229718.54,5.697671951,5.697671951,300.7757281,300.7757281,8274.340999,70.59061251
54,54,54,1,30628.52739,5028369.423,838061.5705,6297430.994,36457322.88,5.761216809,5.761216809,306.5369449,306.5369449,8580.877944,70.40585523
55,55,55,1,30628.52739,5002116.4,833686.0666,6266802.466,37006936.73,5.905234277,5.905234277,318.2725586,318.2725586,9211.517827,69.9597075
56,56,56,1,30628.52739,4975863.376,829310.5627,6236173.939,37328830.49,5.985854605,5.985854605,324.2584132,324.2584132,9535.77624,69.69841101
57,57,57,1,30628.52739,4949610.353,824935.0588,6205545.412,37682014.9,6.072313134,6.072313134,330.3307264,330.3307264,9866.106966,69.41171441
58,58,58,1,30628.52739,4923357.329,820559.5549,6174916.884,38066398.85,6.16468198,6.16468198,336.4954083,336.4954083,10202.60237,69.09969166
59,59,59,1,30628.52739,4897104.306,816184.051,6144288.357,38481879.04,6.263032723,6.263032723,342.7584411,342.7584411,10545.36082,68.76242661
60,60,60,1,30628.52739,4870851.282,811808.5471,6113659.829,38928339.54,6.367436303,6.367436303,349.1258774,349.1258774,10349.76236,68.40001336
62,62,62,1,30628.52739,4844598.259,807433.0432,6083031.302,37692523.27,6.196338865,6.196338865,355.3222162,355.3222162,10705.08457,69.40318427
63,63,63,1,30628.52739,4792092.212,798682.0353,6021774.247,38236233.42,6.317529557,6.317529557,361.6397458,361.6397458,11066.72432,68.96182885
64,64,64,1,30628.52739,4765839.188,794306.5314,5991145.72,38833439.8,6.448836873,6.448836873,368.0885827,368.0885827,11434.8129,68.477048
65,65,65,1,30628.52739,4739586.165,789931.0275,5960517.193,39694952.6,6.625602924,6.625602924,374.7141856,374.7141856,11809.52709,67.77771704
66,66,66,1,30628.52739,4713333.142,785555.5236,5929888.665,40561185.76,6.804977562,6.804977562,381.5191632,381.5191632,12191.04625,67.07455435
67,67,67,1,30628.52739,4687080.118,781180.0197,5899260.138,41432244.47,6.987018948,6.987018948,388.5061821,388.5061821,12579.55243,66.36747452
68,68,68,1,30628.52739,4660827.095,776804.5158,5868631.61,42308149.69,7.171772173,7.171772173,395.6779543,395.6779543,12975.23039,65.65646054
69,69,69,1,30628.52739,4634574.071,772429.0119,5838003.083,43188840.45,7.359269301,7.359269301,403.0372236,403.0372236,13378.26761,64.94156192
70,70,70,1,30628.52739,4608321.048,768053.5079,5807374.556,44074175.93,7.549529403,7.549529403,410.586753,410.586753,13788.85436,64.22289296
71,71,71,1,30628.52739,4582068.024,763678.004,5776746.028,44963937.62,7.742558567,7.742558567,418.3293115,418.3293115,14207.18368,63.50063104
72,72,72,1,30628.52739,4555815.001,759302.5001,5746117.501,45857831.39,7.938349924,7.938349924,426.2676615,426.2676615,14633.45134,62.7750149
73,73,73,1,30628.52739,4529561.977,754926.9962,5715488.973,46755489.75,8.136883685,8.136883685,434.4045452,434.4045452,15067.85588,62.04634288
74,74,74,1,30628.52739,4503308.954,750551.4923,5684860.446,47656474.13,8.338127211,8.338127211,442.7426724,442.7426724,15510.59856,61.31497095
75,75,75,1,30628.52739,4477055.93,746175.9884,5654231.919,48560277.56,8.542035116,8.542035116,451.2847075,451.2847075,15961.88326,60.58131068
76,76,76,1,30628.52739,4450802.907,741800.4845,5623603.391,49466327.38,8.748549422,8.748549422,460.0332569,460.0332569,16421.91652,59.8458269
77,77,77,1,30628.52739,4424549.883,737424.9806,5592974.864,51282566.88,9.169103765,9.169103765,478.1599605,478.1599605,17369.06734,58.37149883
78,78,78,1,30628.52739,4398296.86,733049.4766,5562346.336,52191313.39,9.382967228,9.382967228,487.5429277,487.5429277,17856.61026,57.63382602
79,79,79,1,30628.52739,4372043.836,728673.9727,5531717.809,53099428.2,9.599084775,9.599084775,497.1420125,497.1420125,18353.75228,56.89666599
80,80,80,1,30628.52739,4345790.813,724298.4688,5501089.282,54006065.57,9.817340313,9.817340313,506.9593528,506.9593528,18860.71163,56.16070527
81,81,81,1,30628.52739,4319537.789,719922.9649,5470460.754,54910339.05,10.03760771,10.03760771,516.9969605,516.9969605,19377.70859,55.42666343
82,82,82,1,30628.52739,4293284.766,715547.461,5439832.227,55811327.2,10.25975156,10.25975156,527.256712,527.256712,19904.9653,54.69528846
83,83,83,1,30628.52739,4267031.742,711171.9571,5409203.7,56708079.76,10.48362807,10.48362807,537.7403401,537.7403401,20442.70564,53.96735171
84,84,84,1,30628.52739,4240778.719,706796.4532,5378575.172,57599624.23,10.70908603,10.70908603,548.4494261,548.4494261,20991.15507,53.24364261
85,85,85,1,30628.52739,4214525.696,702420.9493,5347946.645,58484972.86,10.9359679,10.9359679,559.385394,559.385394,21550.54046,52.52496298
86,86,86,1,30628.52739,4188272.672,698045.4453,5317318.117,59363130.02,11.16411106,11.16411106,570.5495051,570.5495051,22121.08997,51.812121
87,87,87,1,30628.52739,4162019.649,693669.9414,5286689.59,60233099.82,11.39334905,11.39334905,581.9428542,581.9428542,22703.03282,51.10592509
88,88,88,1,30628.52739,4135766.625,689294.4375,5256061.063,61093894.05,11.62351299,11.62351299,593.5663672,593.5663672,23296.59919,50.40717743
89,89,89,1,30628.52739,4109513.602,684918.9336,5225432.535,61944540.17,11.85443305,11.85443305,605.4208002,605.4208002,23902.01999,49.71666748
90,90,90,1,30628.52739,4083260.578,680543.4297,5194804.008,62784089.47,12.08593998,12.08593998,617.5067402,617.5067402,24519.52673,49.03516534
91,91,91,1,30628.52739,4057007.555,676167.9258,5164175.48,63611625.15,12.31786669,12.31786669,629.8246069,629.8246069,25149.35134,48.36341523
92,92,92,1,30628.52739,4030754.531,671792.4219,5133546.953,64574916.54,12.57900573,12.57900573,642.4036126,642.4036126,25791.75495,47.58146574
93,93,93,1,30628.52739,4004501.508,667416.918,5102918.426,65430276.84,12.82212871,12.82212871,655.2257413,655.2257413,26446.98069,46.88712906
94,94,94,1,30628.52739,3978248.484,663041.414,5072289.898,66257110.29,13.06256378,13.06256378,668.2883051,668.2883051,27115.269,46.21594898
95,95,95,1,30628.52739,3951995.461,658665.9101,5041661.371,67056268.3,13.30043082,13.30043082,681.5887359,681.5887359,27796.85773,45.56723438
96,96,96,1,30628.52739,3925742.437,654290.4062,5011032.844,67828591.58,13.53585053,13.53585053,695.1245865,695.1245865,28491.98232,44.9403028
97,97,97,1,30628.52739,3899489.414,649914.9023,4980404.316,68574916.78,13.76894574,13.76894574,708.8935322,708.8935322,29200.87585,44.3344751
98,98,98,1,30628.52739,3873236.39,645539.3984,4949775.789,69296081.34,13.99984248,13.99984248,722.8933747,722.8933747,29923.76922,43.74907149
99,99,99,1,30628.52739,3846983.367,641163.8945,4919147.261,69992926.77,14.22867075,14.22867075,737.1220454,737.1220454,30660.89127,43.18340888
100,100,100,1,30628.52739,3820730.343,636788.3906,4888518.734,70666300.64,14.45556507,14.45556507,751.5776105,751.5776105,31412.46888,42.63679924
101,101,101,1,30628.52739,3794477.32,632412.8867,4857890.207,71317057.4,14.68066473,14.68066473,766.2582752,766.2582752,32178.72716,42.108549
102,102,102,1,30628.52739,3768224.296,628037.3827,4827261.679,71946058.18,14.90411396,14.90411396,781.1623892,781.1623892,32959.88954,41.59795912
103,103,103,1,30628.52739,3741971.273,623661.8788,4796633.152,72554169.82,15.12606187,15.12606187,796.288451,796.288451,33756.178,41.10432595
104,104,104,1,30628.52739,3715718.25,619286.3749,4766004.624,73142263.27,15.34666225,15.34666225,811.6351133,811.6351133,34567.81311,40.62694249
106,106,106,1,30628.52739,3689465.226,614910.871,4735376.097,73711211.43,15.5660733,15.5660733,827.2011866,827.2011866,33625.26358,40.16510018
107,107,107,1,30628.52739,3663212.203,610535.3671,4704747.57,73410695.45,15.60353544,15.60353544,842.804722,842.804722,34468.0683,40.40904332
108,108,108,1,30628.52739,3636959.179,606159.8632,4674119.042,74025729.77,15.83736509,15.83736509,858.6420871,858.6420871,35326.71039,39.90979068
109,109,109,1,30628.52739,3610706.156,601784.3593,4643490.515,74617107.2,16.0691848,16.0691848,874.7112719,874.7112719,36201.42166,39.42974146
110,110,110,1,30628.52739,3584453.132,597408.8554,4612861.988,75186231.27,16.29925878,16.29925878,891.0105307,891.0105307,37092.43219,38.96775635
111,111,111,1,30628.52739,3531947.085,588657.8475,4551604.933,75734454.48,16.5278472,16.5278472,907.5383779,907.5383779,37999.97057,38.52273747
112,112,112,1,30628.52739,3505694.062,584282.3436,4520976.405,76773355.5,16.9815873,16.9815873,941.2751713,941.2751713,39865.53933,37.67941205
113,113,113,1,30628.52739,3479441.038,579906.8397,4490347.878,77266485.53,17.2072382,17.2072382,958.4824095,958.4824095,40824.02174,37.27911493
114,114,114,1,30628.52739,3453188.015,575531.3358,4459719.351,77743618.87,17.43240163,17.43240163,975.9148112,975.9148112,41799.93655,36.89180308
115,115,115,1,30628.52739,3426934.991,571155.8319,4429090.823,78205854.68,17.65731564,17.65731564,993.5721268,993.5721268,42793.50867,36.51658426
116,116,116,1,30628.52739,3400681.968,566780.328,4398462.296,78654241.12,17.88221333,17.88221333,1011.45434,1011.45434,43804.96301,36.15260765
117,117,117,1,30628.52739,3374428.944,562404.8241,4367833.768,79089775.46,18.10732268,18.10732268,1029.561663,1029.561663,44834.52468,35.79906368
118,118,118,1,30628.52739,3348175.921,558029.3201,4337205.241,79513404.31,18.33286642,18.33286642,1047.894529,1047.894529,45882.41921,35.45518397
119,119,119,1,30628.52739,3321922.897,553653.8162,4306576.714,79926024.04,18.55906195,18.55906195,1066.453591,1066.453591,46948.8728,35.1202409
120,120,120,1,30628.52739,3295669.874,549278.3123,4275948.186,80328481.35,18.78612131,18.78612131,1085.239712,1085.239712,48034.11251,34.79354714
121,121,121,1,30628.52739,3269416.85,544902.8084,4245319.659,80721574.13,19.01425113,19.01425113,1104.253964,1104.253964,49138.36647,34.47445501
122,122,122,1,30628.52739,3243163.827,540527.3045,4214691.131,81106052.45,19.24365272,19.24365272,1123.497616,1123.497616,50261.86409,34.16235565
123,123,123,1,30628.52739,3216910.804,536151.8006,4184062.604,81482619.69,19.47452211,19.47452211,1142.972138,1142.972138,51404.83623,33.85667809
124,124,124,1,30628.52739,3190657.78,531776.2967,4153434.077,81851933.93,19.70705022,19.70705022,1162.679189,1162.679189,52567.51542,33.55688814
125,125,125,1,30628.52739,3164404.757,527400.7928,4122805.549,82214609.42,19.941423,19.941423,1182.620612,1182.620612,53750.13603,33.26248718
126,126,126,1,30628.52739,3138151.733,523025.2889,4092177.022,82571218.13,20.17782166,20.17782166,1202.798433,1202.798433,54952.93446,32.97301091
127,127,127,1,30628.52739,3111898.71,518649.7849,4061548.495,82922291.55,20.41642286,20.41642286,1223.214856,1223.214856,56176.14932,32.6880279
128,128,128,1,30628.52739,3085645.686,514274.281,4030919.967,83268322.37,20.65739907,20.65739907,1243.872255,1243.872255,57420.02157,32.40713821
129,129,129,1,30628.52739,3059392.663,509898.7771,4000291.44,83609766.41,20.90091876,20.90091876,1264.773174,1264.773174,58684.79475,32.12997183
130,130,130,1,30628.52739,3033139.639,505523.2732,3969662.912,83947044.43,21.14714682,21.14714682,1285.920321,1285.920321,59970.71507,31.8561872
131,131,131,1,30628.52739,3006886.616,501147.7693,3939034.385,84280544.07,21.39624482,21.39624482,1307.316566,1307.316566,61278.03163,31.58546966
132,132,132,1,30628.52739,2980633.592,496772.2654,3908405.858,84610621.73,21.64837144,21.64837144,1328.964937,1328.964937,62606.99657,31.31752991
133,133,133,1,30628.52739,2954380.569,492396.7615,3877777.33,84937604.44,21.90368276,21.90368276,1350.86862,1350.86862,63957.86519,31.05210247
134,134,134,1,30628.52739,2928127.545,488021.2576,3847148.803,85261791.74,22.16233271,22.16233271,1373.030953,1373.030953,65330.89614,30.7889442
135,135,135,1,30628.52739,2901874.522,483645.7536,3816520.275,85583457.47,22.42447342,22.42447342,1395.455426,1395.455426,66726.35157,30.52783282
136,136,136,1,30628.52739,2875621.498,479270.2497,3785891.748,85902851.53,22.69025562,22.69025562,1418.145682,1418.145682,68144.49725,30.26856546
138,138,138,1,30628.52739,2849368.475,474894.7458,3755263.221,86220201.58,22.95982905,22.95982905,1441.105511,1441.105511,69585.60276,30.01095731
139,139,139,1,30628.52739,2823115.451,470519.2419,3724634.693,86535714.68,23.23334281,23.23334281,1464.338853,1464.338853,71049.94161,29.75484031
140,140,140,1,30628.52739,2796862.428,466143.738,3694006.166,86849578.84,23.51094582,23.51094582,1487.849799,1487.849799,72537.79141,29.50006182
141,141,141,1,30628.52739,2744356.381,457392.7302,3632749.111,87161964.52,23.79278718,23.79278718,1511.642586,1511.642586,74049.434,29.24648349
142,142,142,1,30628.52739,2718103.358,453017.2263,3602120.584,87473026.01,24.07901656,24.07901656,1535.721603,1535.721603,75585.1556,28.99398007
143,143,143,1,30628.52739,2691850.334,448641.7223,3571492.056,88091720.66,24.66524334,24.66524334,1584.756631,1584.756631,78730.00362,28.49175616
144,144,144,1,30628.52739,2665597.311,444266.2184,3540863.529,88399593.17,24.96554652,24.96554652,1609.722178,1609.722178,80339.7258,28.2418414
145,145,145,1,30628.52739,2639344.287,439890.7145,3510235.002,88706622.4,25.27085006,25.27085006,1634.993028,1634.993028,81974.71883,27.99261115
146,146,146,1,30628.52739,2613091.264,435515.2106,3479606.474,89012900.16,25.58131238,25.58131238,1660.57434,1660.57434,83635.29317,27.74399091
147,147,147,1,30628.52739,2586838.24,431139.7067,3448977.947,89318508.89,25.89709481,25.89709481,1686.471435,1686.471435,85321.7646,27.49591375
148,148,148,1,30628.52739,2560585.217,426764.2028,3418349.419,89623522.51,26.218362,26.218362,1712.689797,1712.689797,87034.4544,27.24831968
